content,contentTranslation,languageInEnglish,preprocessed,translated,detected_lang,detected_conf
"&#12296;:columna 1&#12297;
- - - - - - 
V&#818;i&#818;r&#818;i&#818;o&#818;t&#818;a&#770;&#818;l&#818; &#12296;:vacat&#12297; C&#818;L&#818;
V&#818;a&#818;l&#818;e&#818;r&#818;(ius) &#12296;:vacat&#12297;  X&#818;X&#818;V&#818;
A&#818;m&#818;[o]n&#818;(ius) &#12296;:vacat&#12297; L&#818;X&#818;X&#818;V&#818;
S&#818;e&#818;r&#818;v&#818;i&#818;l&#818;(ius) &#12296;:vacat&#12297; C&#818;
M&#818;a&#818;r&#818;c&#818;u&#818;s&#818; &#12296;:vacat&#12297; L&#818;
S&#818;&#818;e&#818;q&#818;u&#818;a&#818;n&#818;(us) &#12296;:vacat&#12297; L&#818;X&#818;X&#818;V&#818;
Sedula&#770;&#818;t&#818;(us) &#12296;:vacat&#12297;  XXV
((:duo ornamenta scuti)) Viriod LXXV
+TOFAG &#12296;:vacat&#12297; L
+NARTO L X X

&#12296;:columna 2&#12297;
- - - - - -
S&#818;e&#818;x&#818;t&#818;i&#818;u&#818;s&#818; C&#818;
V&#818;i&#818;r&#818;i&#818;o&#818;t&#818;a&#770;&#818;l&#818; C&#818;L&#818;
Valer(ius) LXX&#818;V
Valer(ius) LXXV","〈:columna 1〉
 Virotal? 150
 Valerius 25
 Ammonius 75
 Servilius 100
 Marcus 50
 Sequanus 75
 Sedulatus 25
 Viriodal? 75
 (incomprehensible series of letters) 50
 (incomprehensible series of letters) 70
 
 〈:columna 2〉
 Sextius 100
 Viriotal? 150
 Valerius 75
 Valerius 75",Latin,",    , v̲i̲r̲i̲o̲t̲â̲l̲ c̲l̲, v̲a̲l̲e̲r̲ius  x̲x̲v̲, a̲m̲on̲ius l̲x̲x̲v̲, s̲e̲r̲v̲i̲l̲ius c̲, m̲a̲r̲c̲u̲s̲ l̲, s̲̲e̲q̲u̲a̲n̲us l̲x̲x̲v̲, sedulâ̲t̲us  xxv, duo ornamenta scuti viriod lxxv, tofag l, narto l x x, , ,   , s̲e̲x̲t̲i̲u̲s̲ c̲, v̲i̲r̲i̲o̲t̲â̲l̲ c̲l̲, valerius lxx̲v, valerius lxxv",". , two ornaments of shield viriod lxxv, tofag l, narto l x x, , , , s̲e̲x̲t̲i̲u̲s̲ c̲, v̲i̲r̲i̲o̲t̲â̲l̲ c̲l̲, valerius lxx̲v, valerius lxxv",,
X CLXXV,x clxxv,Latin,x clxxv,x clxxv,,
AXBVCTDSHRNQGPHOINKIML,axbvctdshrnqgphoinkiml,Latin,axbvctdshrnqgphoinkiml,axbvctdshrnqgphoinkiml,,
Schola,school,Latin,schola,school,,
"Victor
cum","the winner, when",Latin,"victor, cum","the winner, when",,
Phoebus,Phoebes,Latin,phoebus,Phoebes,,
Victoria,victory,Latin,victoria,victory,,
"Sabinus Proclo (:Proculo)
salutem","Sabinus in the distance, greetings",Latin,"sabinus proculo, salutem","Sabinus in the distance, greetings",,
qui COV,who cov,Latin,qui cov,who cov,,
Satur,Satyr,Latin,satur,sated,,
Ante,before,Latin,ante,before,,
quis,who,Latin,quis,who,,
Asti,ast,Latin,asti,ast,,
"Nais
[s]odalis","nais, member",Latin,"nais, sodalis","nais, member",,
"I S dequi
((:animal))
((:tria hominum capita)) ((:cervus))","(Series of letters, with several drawings below)",Latin,"i s dequi, animal, tria hominum capita cervus","i s dequi, an animal, a deer with three human heads",,
&#929;&#927;&#933;&#934;&#927;&#1017; (:Rufus),Rufus,Latin/Greek,rufus,,,
Scutularius cum Africana hac,scutular with this African,Latin,scutularius cum africana hac,scutular with this African,,
"Spes
a(ssibus) II","hope, those",Latin,"spes, assibus ii","hope, those",,
CXXXI&#923;&#923;,cxxxiiill,Latin,cxxxiλλ,cxxxiiill,,
Syncletus,syncretism,Latin,syncletus,syncretism,,
"Idibus Apri (:Aprilis) vas a
a quo Phile&#803;ros [-]FOR","On the Ides of April (=April 13th), a vase by which Phileros...(?)",Latin,"idibus aprilis vas a, a quo philẹros for","in the days of April, a vessel from which the philēros will be",,
Po(pidii),of the restaurant,Latin,popidii,of the restaurant,,
CON,with,Latin,con,with,,
Quartila (:Quartilla) vale,"Farewell, Quartil(l)a!",Latin,quartilla vale,goodbye quartet,,
Anthis va(le),Anthis. Bye!,Latin,anthis vale,goodbye ducks,,
"Vasa in camella
I&#803;e&#803;++  VI","vessels on a camel, ịẹ vi",Latin,"vasa in camella, ịẹ vi","vessels on a camel, ịẹ vi",,
Nicopolis va(le),"Nicopolis, Bye!",Latin,nicopolis vale,goodbye Nicopolis,,
E&#803;utychus,Eutychus,Latin,ẹutychus,Æutychus,,
"Plataco 
turuda",Plataco Turuda,Latin,"plataco , turuda","plataco, turuda",,
[Eu]plia,[Eu]plia,Latin,euplia,more,,
Reus SO,I am guilty,Latin,reus so,I am guilty,,
A B C D II I G     V     T     X,a b c d ii i g v t x,Latin,a b c d ii i g   v   t   x,a b c d ii i g v t x,,
"Mula fellaat (:fellat) [A]ntoni
Fortunata a(eris) a(ssibus) II
((:caput hominis))",Mula performs fellatio(?)  Antoni(us?).  Fortunata - 2 (bronze) asses (coins).,Latin,"mula fellat antoni, fortunata aeris assibus ii, caput hominis",Antony's mule cuts down the head of a man,,
"IV Non(as) Iul(ias) 
paenulam, palliolum 
[?posita ad Fau]stilla(m)
Pr[o---] L usur[a] 
[deduxit?] XIIIS (?) 
[aeri]s a(sses) VIII","Four days before the Nones of July, a traveler's cloak and a small cloak (were deposited with) Faustilla (for collateral). For fifty (denarii?) she [is charging] 13.5 copper asses (per month, as interest).   8.",Latin,"iv nonas iulias , paenulam, palliolum , posita ad faustillam, pro l usura , deduxit xiiis , aeris asses viii","iv ninth julias, a cloth, a shawl, placed at the sash, for l usury, he brought xiiis, brass asses viii",,
SAV&#770;F,Sauf(eius?),Latin,sav̂f,sav̂f,,
[Pro]culus,Proculus,Latin,proculus,proculus,,
XII,12,Latin,xii,xii,,
VII,7,Latin,vii,vii,,
"VI+IV+A
C CA+BI
&#12296;:vacat&#12297;
P",(Incomprehensible series of letters),Latin,"viiva, c cabi, , p","viiva, c cabi, , p",,
"Apsyrtu&#770;s
Valent=
ine (:Valentinae) ubiq(ue)","Apsyrtus: (Greetings) to Valentina, everywhere",Latin,"apsyrtûs, valent=, valentinae ubique","apsyrtûs, valent=, valentines everywhere",,
Fortis,Brave (?),Latin,fortis,strong,,
SIA&#770;NEI,(Incomprehensible series of letters),Latin,siânei,siânei,,
Matris Elesina (:Eleusinae),Of the Eleusinian mother,Latin,matris eleusinae,the Eleusinian mother,,
"Cupr=
on=
ius=
epol
Romul=
us in
caelo 
Martis
equita (:equitat)","By Pollux, Cupronius! Romulus, (son) of Mars, rides in heaven.",Latin,"cupr=, on=, ius=, epol, romul=, us in, caelo , martis, equitat","cupr=, on=, ius=, epol, romul=, us in, sky, martis, rides",,
"Lucilius
Lucidae suae
ub&#803;ique sal(utem)",Lucilius greets his Lucida everywhere,Latin,"lucilius, lucidae suae, uḅique salutem","His light, his light, greetings everywhere",,
Iul(iae?),Julia,Latin,iuliae,Julia,,
Augustus,August,Latin,augustus,August,,
X,10,Latin,x,x,,
CCCLXXXVI,ccclxxxvi,Latin,ccclxxxvi,ccclxxxvi,,
"&#12296;:stria 11&#12297;
SS
B 

&#12296;:stria 12&#12297;
VIT",(Individual letters),Latin,", ss, b , , , vit",", ss, b , , vit",,
Fautio (:Faustio?),For Fau(s)tius,Latin,faustio,happiness,,
VCQ(?),VCQ,Latin,vcq,etc,,
"ven[i]vit
muleri (:mulieri)
D(ecimi) Lucreti Vale(ntis)
Onus(tus?)
eques I
r(ationis?),
Saga
tr(aex) (:thraex)
m(urmillo)
I (rationis)","Sold(?) to the wife of Decimus Lucretius Valens, Onustus, a first-rate gladiator, and Sagatus, a first-rate Thracian-murmillo.",Latin,"venivit, mulieri, decimi lucreti valentis, onustus, eques i, rationis,, saga, traex thraex, murmillo, i rationis","He came to the woman, with a tenth of the winnings, laden, the horseman of reason",,
C++MRV,cmrv,Latin,cmrv,cmrv,,
"Anchario
lina",Threads for Ancharius (?),Latin,"anchario, lina","anchor, line",,
"L(ucius?) A+II+AIIPIDIIIS 
RA
",(Incomprehensible series of letters),Latin,"lucius aiiaiipidiiis , ra, ","lucius aiiaiipidiiis, ra,",,
Victor bene fut&#7909;&#7883;&#7789; Novim[u]s,we know the winner well,Latin,victor bene futụịṭ novimus,we know the winner well,,
AL,al,Latin,al,al,,
C&#923;&#921;&#925;I(?)CO,clinical,Latin,cλινico,clinical,,
III ((signum)) XII XII XIII,iii sign xii xii xiii,Latin,iii signum xii xii xiii,iii sign xii xii xiii,,
"Mus cave 
malum","Mus, beware of evil!",Latin,"mus cave , malum","beware of the mouse, evil",,
Hantis (:Anthis),Hantis (=Anthis),Latin,anthis,ducks,,
P(ublius) Caselicius Canus,the more public the cheese,Latin,publius caselicius canus,the more public the cheese,,
Gnome a(nnis) CIX (?),a gnome for six years,Latin,gnome annis cix ,a gnome for six years,,
bono ut sit,May it be (for) a good [man]?,Latin,bono ut sit,good to be,,
"Rusticus
Rufina","Rusticus
Rufina",Latin,"rusticus, rufina","rustic, red",,
G IA,(incomprehensible series of letters),Latin,g ia,g ia,,
"cigrotue
ab h[- - -]r
m vole
VIII","(Text of uncertain meaning)
by (???)
(of?) M(arcus) Volu(mnius?)",Latin,"cigrotue, ab h.r, m vole, viii","cigrotue, from h.r, m vole, viii",,
Roma[---],Roma,Latin,roma.,Roma,,
L(ucius) Annius [+2?+]it,light year 2it,Latin,lucius annius 2it,light year 2it,,
Phoebus pedico,hoebus foot,Latin,phoebus pedico,hoebus foot,,
Q(uintum) Varium,the fifth variety,Latin,quintum varium,the fifth variety,,
&#922;&#945;&#955;&#969;&#834;&#1010; &#956;&#945;&#953;&#959;&#961;[&#949;]&#1010; [---]&#953;&#954;&#945;,,Latin/Greek,καλῶϲ μαιορεϲ νικα,,,
"Aman(dus)
Am(andus)","to be loved, to be loved",Latin,"amandus, amandus","to be loved, to be loved",,
((:circulus cum circino tractatus)),treated with a circle,Latin,circulus cum circino tractatus,treated with a circle,,
"Taurus AAAOER[-----]S
ETA non PAS[---]AN VS
ERBA
","taurus aaaoers, eta non pas,an vs, erba,",Latin,"taurus aaaoers, eta non pas,an vs, erba, ","taurus aaaoers, eta non pas,an vs, erba,",,
calos Castrensis s,,Latin/Greek,calos castrensis s,,,
Dos pygiza (:&#948;&#8056;&#962; &#960;&#965;&#947;&#943;&#963;&#945;&#953;),Let me bugger!,Latin/Greek,dos pygiza δὸς πυγίσαι,,,
Polucarpus&#803; (:Polycarpus) &#12296;:vacat&#12297; ++++,polucarpuṣ polycarpus,Latin,polucarpuṣ polycarpus ,polucarpuṣ polycarpus,,
panta,,Latin/Greek,panta,,,
D&#803;iogenes,Diogenes,Latin,ḍiogenes,Diogenes,,
IIIIIIIIIIIIIIII,16,Latin,iiiiiiiiiiiiiiii,iiiiiiiiiiiiiii,,
IIIIIIIIIIIIIIIIIIII,20,Latin,iiiiiiiiiiiiiiiiiiii,iiiiiiiiiiiiiiiiii,,
XII ((semis)),12 1/2,Latin,xii semis,12 semis,,
Synethus,synethus,Latin,synethus,synethus,,
Synethus,synethus,Latin,synethus,synethus,,
"Phoebus
cine&#948;u  (:cinaedus)",,Latin/Greek,"phoebus, cineδu cinaedus",,,
"futui Mula (:Mulam) hic 
quid","I fucked a mule here, what?",Latin,"futui mulam hic , quid","I fucked a mule here, what?",,
"Secund(us)
S[e]c[und]&#7909;s
((:phallus))","second, second, phallus",Latin,"secundus, secundụs, phallus","second, second, phallus",,
Vitalio,Vitalio,Latin,vitalio,vital,,
Prima cum Spar[tit]undiolo modo h[ac],the first with the spartitundiolo in this way,Latin,prima cum spartitundiolo modo hac,the first with the spartitundiolo in this way,,
"Qûartio v&#770;a(le) 
((:labyrinthus)) 
((:labyrinth))","quartio vale, labyrinth, labyrinth",Latin,"qûartio v̂ale , labyrinthus , labyrinth","quartio vale, labyrinth, labyrinth",,
Amabiliter,kindly,Latin,amabiliter,kindly,,
"Trofime
XIX","trofime, xix",Latin,"trofime, xix","trofime, xix",,
L&#803;eontine v&#770;a(le),ḷeontine v̂ale,Latin,ḷeontine v̂ale,ḷeontine v̂ale,,
ER,er,Latin,er,er,,
"Marce(llus?)
Proculus
Marcellus","Marcellus, proculus, Marcellus",Latin,"marcellus, proculus, marcellus","Marcellus, proculus, Marcellus",,
Apri&#803;&#803;culus I,aprị̀culus i,Latin,aprị̣culus i,aprị̀culus i,,
"Fur cave
SIQ","beware of the thief, so",Latin,"fur cave, siq","beware of the thief, so",,
Circius,circus,Latin,circius,circus,,
Ver,spring,Latin,ver,spring,,
"V Idus NOVII (:Novembris)
Vestia","Five days before the Ides of November (=Nov. 9th)
Vestia",Latin,"v idus novembris, vestia","November 5th, clothes",,
"Staphìlus cum
Quie&#803;t&#803;a&#803;

","staphìlus with, quiẹṭạ, ,",Latin,"staphìlus cum, quiẹṭạ, , ","staphìlus with, quiẹṭạ, ,",,
"Russa vale
XIIISIINDI","Farewell, Russa! (incomprehensible series of letters)",Latin,"russa vale, xiiisiindi","Russian goodbye, 12th",,
"L N F
C","l n f, c",Latin,"l n f, c","l n f, c",,
N(umerium) Com,com number,Latin,numerium com,com number,,
rubenses rub,?,Latin,rubenses rub,red rub,,
III,3,Latin,iii,iii,,
"XXIIIIIII
VIIII VIII VII
IIII IIIIII IIIIII IIIIIIII IIIIIIII
X IIIIIIII IIIIIIII IIIIII
IIIIII XXIIIIIIIIII
XVII IIIIIIIIIIIII
XXXXX X IIIIIII III
IIIII XXXXX","27, 9, 8, 7, 4, 6, 6, 8, 8, 10, 8, 8, 6, 6, 30, 17, 13, 50, 10, 7, 3, 5, 50",Latin,"xxiiiiiii, viiii viii vii, iiii iiiiii iiiiii iiiiiiii iiiiiiii, x iiiiiiii iiiiiiii iiiiii, iiiiii xxiiiiiiiiii, xvii iiiiiiiiiiiii, xxxxx x iiiiiii iii, iiiii xxxxx","xxiiiiii, viii viii vii, iiii iiiiii iiiiii iiiiii iiiiii, x iiiiii iiiiii iiiiii, iiiiii xxiiiiiiiii, xvii iiiiiiiiiiii, xxxxx x iiiiiii iii, iiiii xxxxx",,
IST F pedico NIIIC V,(incomprehensible series of letters) I bugger (incomprehensible series of letters),Latin,ist f pedico niiic v,ist f pedico niiic v,,
IIIIIIIIIII,11,Latin,iiiiiiiiiii,iiiiiiiiiiii,,
Ionicus,Ionic,Latin,ionicus,Ionic,,
VIV CVNLA,Incomprehensible series of letters,Latin,viv cvnla,viv cvnla,,
A SER XXXI,a ser xxxi,Latin,a ser xxxi,a ser xxxi,,
Quintus,Quintus,Latin,quintus,The fifth,,
Cel&#803;e&#803;s&#803;ius hic est,This is the sky,Latin,ceḷẹṣius hic est,This is the sky,,
Repentinus,Repentinus,Latin,repentinus,suddenness,,
Eulymenus,Eulymenus,Latin,eulymenus,eulymenus,,
&#12296;:textus non legitur&#12297;,,Latin,,,,
Q R B,q r b,Latin,q r b,q r b,,
Paris v&#770;a(le),peer,Latin,paris v̂ale,peer,,
Vos fortynati (:fortunati) v(---?),,Latin/Greek,vos fortunati v,,,
AYBVCTDSIIRNQCPHO[INK]ML,aybvctdsiirnqcphoinkml,Latin,aybvctdsiirnqcphoinkml,aybvctdsiirnqcphoinkml,,
[A]basc[antus],abastant,Latin,abascantus,abastant,,
Innoces (:Innocens),innocent,Latin,innocens,innocent,,
"Iuli, ((:phallus ad sin. versus)) lingis
Pacatus","July, phallus to sin. towards the lings, peaceful",Latin,"iuli, phallus ad sin. versus lingis, pacatus","July, phallus to sin. towards the lings, peaceful",,
Eros,eros,Latin,eros,eros,,
"A A
A(ulus) Septumiu[---]icio Fabio
a(ssibus) ((%1000)) IIII",A(ulus) Septumiu(s) (owes?) to (Vin?)cius Fabius 4000? (4 x 1000?) asses,Latin,"a a, aulus septumiucastricio fabio, assibus %1000 iiii","a a, aulus septiucastricius fabius, with taxes %1000 iiii",,
Auctus Iuli Aug[-],increased July,Latin,auctus iuli aug,increased July,,
"IIIIII &#12296;:ianua&#12297; IIIIIIIIIIIIIIIIII IIIIIIIIIIIIIII IIIIIIIII
IIIIIIIIIIIIIIII IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII","6, 18, 15, 8 // 16, 36",Latin,"iiiiii iiiiiiiiiiiiiiiiii iiiiiiiiiiiiiii iiiiiiiii, iiiiiiiiiiiiiiii iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii","iiiiii iiiiiiiiiiiiiiiiii iiiiiiiiiiiiiii iiiiiiiii, iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii",,
Magistri,"Teachers (or, of the teacher)",Latin,magistri,teachers,,
"MAT
RN
+   v&#770;a",(Series of letters),Latin,"mat, rn,  v̂a","mat, rn, v̂a",,
IIIIIIIII,iiiiiiiii,Latin,iiiiiiiii,iiiiiiiii,,
"IIIIIIIIIIIIIII 
IIIIIIIIIIIIIII","15, 15",Latin,"iiiiiiiiiiiiiii , iiiiiiiiiiiiiii","iiiiiiiiiiiiiii, iiiiiiiiiiiiiii",,
Habitus,attitude,Latin,habitus,attitude,,
cito,quickly,Latin,cito,quickly,,
Abcedfgh[- - -],abcedfgh.,Latin,abcedfgh.,abcedfgh.,,
Hantis (:Anthis) v&#770;a(le),"Hantis, bye!",Latin,anthis v̂ale,anthis v̂ale,,
Armaturiis,armatures,Latin,armaturiis,armatures,,
Clemes (:Clemens),merciful,Latin,clemens,merciful,,
"C(a)esareo(?)


",caesarean section,Latin,"caesareo, , , ",caesarean section,,
Maximus,the greatest,Latin,maximus,the greatest,,
Roman(us),at Rome,Latin,romanus,Roman,,
Quati,Shake,Latin,quati,shake,,
XXXX,40,Latin,xxxx,xxxx,,
L X I I I I,64,Latin,l x i i i i,l x i i i i,,
"Alica
p(ondo)  IIIII",Spelt. 5 pounds,Latin,"alica, pondo iiiii","alica, weighing iiiiii",,
Helpis,you helped,Latin,helpis,you helped,,
DCCXCVIII,798,Latin,dccxcviii,dccxcviii,,
"Dap&#770;hnus
Felix
Agele (:Aegle?)
Attice","Daphnus, Felix, Agele, Attice",Latin,"dap̂hnus, felix, aegle, attice","Daphnus, happy, slow, attic",,
"&#12296;:columna I&#12297;
IIIIIIIIIII    

&#12296;:columna II&#12297;
 IIII","11, 4",Latin,", iiiiiiiiiii  , , , iiii",", iiiiiiiiiiii , , , iiii",,
Secundus,the second,Latin,secundus,the second,,
Phoeb(us?),Phoebes,Latin,phoebus,Phoebes,,
siquis erit variae am&#803;,so it will be of various aṃ,Latin,siquis erit variae aṃ,so it will be of various aṃ,,
Anteros hoc scripsit,He wrote this before,Latin,anteros hoc scripsit,He wrote this before,,
Crescens,Crescens,Latin,crescens,growing,,
[Proc?]ulus,proculus,Latin,proculus,proculus,,
Paridi ((:phallus)),paridi phallus,Latin,paridi phallus,paridi phallus,,
Fru&#949;tus (:Fructus),,Latin/Greek,fructus,,,
Ikarus &#920;,,Latin/Greek,ikarus θ,,,
H&#803;ir(r)iu(s),Hirrius,Latin,ḥirrius,Hirrius,,
Scaudì,I scurried,Latin,scaudì,I scurried,,
Sabinus,sabinus,Latin,sabinus,sabinus,,
Ampliatus,enlarged,Latin,ampliatus,enlarged,,
Cosmus,Cosmus,Latin,cosmus,cosmos,,
Quartilla va(le),Quartilla bye!,Latin,quartilla vale,goodbye quartet,,
Quartill[-]a,Quartilla,Latin,quartilla,quarter,,
"Va(le) Issa
Fabia","Goodbye, Fabia",Latin,"vale issa, fabia","Goodbye, Fabia",,
II CIII V,ii ciii v,Latin,ii ciii v,ii ciii v,,
"quisquis
in catedra (:cathedra)",Whoever (will sit) in the chair...,Latin,"quisquis, in cathedra","anyone, in a chair",,
"IIIIIIIIIIII
IIIIIIIIIIIIIII
IIIIIIIIIIIIII
IIII
","12, 15, 14, 4",Latin,"iiiiiiiiiiii, iiiiiiiiiiiiiii, iiiiiiiiiiiiii, iiii, ","iiiiiiiiiiii, iiiiiiiiiiiiiii, iiiiiiiiiiii, iiii,",,
Va(le),Bye,Latin,vale,goodbye,,
Antus &#968;&#969;&#955;&#942; Q,,Latin/Greek,antus ψωλή q,,,
VIIIII&#769;III,13,Latin,viiiiíiii,viiiiiii,,
"R
R 
ÂP",(Series of letters),Latin,"r, r , âp","r, r, âp",,
"&#12296;:stria 8&#12297;
Pa(ris) 

&#12296;:stria 9&#12297;
Par(is) 

&#12296;:stria 13&#12297;
Par(is)

&#12296;:striae 15-16&#12297;
Paris va(le)

&#12296;:stria 16-17&#12297;
V+AIS v&#770;a(le)","Paris, Paris, Paris, Paris, bye, (...other letters here...)",Latin,", paris , , , paris , , , paris, , , paris vale, , , vais v̂ale",", , , , , , , , , , , , , bye",,
IIIIIIIIII,10,Latin,iiiiiiiiii,iiiiiiiii,,
Quartila (:Quartilla),Quartil(l)a,Latin,quartilla,quarter,,
"Lucilius 
Lucidae
ubique
&#12296;:vacat&#12297; sal(utem)",Lucilius gives greetings to Lucida everywhere,Latin,"lucilius , lucidae, ubique, salutem","light, bright, everywhere, greetings",,
"Venimus
hu&#803;c&#803; [c]u[pi]d&#803;i
[m]ul&#803;t&#803;o&#803; 
magis
hire (:ire) &#12296;:cupimus&#12297; · ut
liceat
nostros
visere,
Rom&#803;a, La&#803;res.","we came, hục̣ cupiḍi, muḷṭọ, more, to go · that it may be permitted to visit our, roṃa, lṛres.",Latin,"venimus, hục̣ cupiḍi, muḷṭọ , magis, ire · ut, liceat, nostros, visere,, roṃa, lạres.","we came, hục̣ cupiḍi, muḷṭọ, more, to go · that it may be permitted to visit our, roṃa, lṛres.",,
EREN,(The letters) EREN,Latin,eren,were,,
SVRR,SURR,Latin,svrr,svr,,
A B C D,ABCD,Latin,a b c d,a b c d,,
"Beliatus
IABET",Beliatus (...other letters here...),Latin,"beliatus, iabet","battle, lie",,
"&#12296;:stria 5-6&#12297;
S&#818;e&#818;v&#818;e&#818;r&#818;us

&#12296;:striae 6-7&#12297;
Severus Iulius CX

&#12296;:stria 12&#12297;
Sever&#7909;(s)
Sever(us)","Severus, Severus Iulius 110, Severus Severus",Latin,", s̲e̲v̲e̲r̲us, , , severus iulius cx, , , severụs, severus",", s̲e̲v̲e̲r̲us, , , severe Julius cx, , , severe, severe",,
salute&#803; (:salutem) venientis,To the health of the one entering,Latin,salutẹ salutem venientis,greetings and greetings to the coming one,,
"L(ucius?) · DEC DXVS·
X X X","light · dec dxvs·, x x x",Latin,"lucius · dec dxvs·, x x x","light · dec dxvs·, x x x",,
"Quius (:Cuius)
&#12296;:vacat&#12297;
V(irum) B(onum) ÔV&#770;F (:oro vos faciatis)",Whose? (He is a) good man. I ask that you make/elect him... (phrases usually used in campaign posters),Latin,"cuius, , virum bonum ôv̂f oro vos faciatis","of which, , I pray you make a good husband",,
P&#7806;N[I]CO sal(utem),Hello to Punicus,Latin,pṿnico salutem,I salute you,,
Ver et Anedia,spring and hunger,Latin,ver et anedia,spring and hunger,,
"Su&#7747;
Q Vesuvius",I am Quintus Vesuvius,Latin,"suṃ, q vesuvius","suṃ, q Vesuvius",,
&#7960;&#960;&#945;&#966;&#961;&#803;[&#8118;?]++++&#917;&#7778;,,Latin/Greek,ἐπαφρ̣ᾶεṣ,,,
"Vade 
age nate
vocas Ze=
pirios (:Zephyros)","Come on, son, {you} call the west winds",Latin,"vade , age nate, vocas ze=, zephyros","go, act, you call ze=, zephyros",,
"M(arcus) Magonius 
Vesbinus",Marcus Magonius Vesbinus,Latin,"marcus magonius , vesbinus","Marcus Magonius, Vesbinus",,
"Liberalis 
cum&#803; &#12296;:vacat&#12297; RV",Liberalis (...other letters here...),Latin,"liberalis , cuṃ rv","liberal, cuṃ rv",,
"Eros Pleia Apeleis ((signa duo)) Familia [g]ladiato[r]ia Pomponi&#769; Fa[u]sti[n]i&#769;
E","eros pleia apeleis signs two family gladiatorial pomponí faustiní, e",Latin,"eros pleia apeleis signa duo familia gladiatoria pomponí faustiní, e","eros pleia apeleis signs two family gladiatorial pomponí faustiní, e",,
Oppi,Oppi,Latin,oppi,town,,
"Hic
III",Here 3,Latin,"hic, iii","here, iii",,
"&#12296;:ad perpendiculum&#12297;
V&#770;ARRVM+RI",(Unclear series of letters),Latin,", v̂arrvmri",", v̂arrvmri",,
