content,apparatus,sourceFindSpot,contentTranslation,caption,writingStyleInEnglish,languageInEnglish,cil,citation,preciseLocation,italianPropertyName,numberOfGraffiti,propertyNumber,insula.shortName,insula.fullName,insula.city.name,insula.city.pleiadesId,englishPropertyName,additionalEntrances,propertyName,descriptionInEnglish,descriptionInLatin
Iusto fe&#803;(liciter?),"Textus et mensurae secundum (1)<br>v. 1: E extat forma non absoluta sicut &#1017;, nisi fortuita sit (1)<br>","Pompei (Napoli), Regio VIII.7.21, Teatro Grande",,,Graffito/incised,Latin,2458,"AGP-EDR151891, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR151891&gt; [accessed: 27 Mar 2023]",,Teatro Grande,13,21,VIII.7,Insula VIII.7,Pompeii,433032,Large Theater,27,Teatro Grande,,
XX,Textus secundum (1).<br>Ad dextram EDR166066.,"Pompei (Napoli), Regio V.1.18, Casa degli Epigrammi Greci",20,Numerical graffito,Graffito/incised,Latin,4040,"AGP-EDR166067, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR166067&gt; [accessed: 27 Mar 2023]",,Casa degli Epigrammi,66,18,V.1,Insula V.1,Pompeii,433032,,"11,12",Casa degli Epigrammi,,
"Eros 
Thymele&#803;
","Textus secundum (4), mensurae secundum (2),(4). Mensura alt. secundum (4). Periit (3).  Contulerunt Sypniewski et Benefiel (AGP); vestigia exigua adhuc a. 2019 extant. <br><br>v. 1: EROS in campo ad amphitheatrum (col. LXXI) etiam invenitur ad EDR128644.<br>v. 2: Thymele nota Pompeiis est, sed scripta ut Timele. Vide CIL 04, 1387-1388a.<br><br>Prope EDR128084 (striae 5-6) <br>In eadem columna EDR167646 (stria 11); EDR128276 (stria 13); EDR128277, EDR128278 (stria 14); EDR127399 (striae 15-16)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXX, stria 4","Eros, Thymele",List of names,Graffito/incised,Latin,8653,"AGP-EDR127147, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127147&gt; [accessed: 27 Mar 2023]","col. LXX, stria 4",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"Ga (:Gaius) Sabinius Statio plurima (:plurimam) sal(utem)

&#12296;:vv. 2-4 intra lineis dispositis in quadrato scripti sunt&#12297;
Viator Pompeis pane (:panem) gustas
Nuceriae bibes
Nucc++++es","Textus secundum (5). Periit (3).<br>v. 1: GA pro Gaius rarum est.<br>vv. 3-4: (sed) NUCERIAE BIBES / NUCER[IAE BIBES?] (1)<br>v. 4: textus v. 3 iterum scriptum, sed non clare, videtur<br>Hic, titulus lectorem VIATOR adloquitur. Prope, in eodem muro, alter titulus litteris scariphatis lectorem HOSPES adloquitur (CIL 04, 08899)","Pompei (Napoli), Regio III.5.4, Facade","Gaius Sabinius gives lots and lots of greetings to Statius.   --Traveler, at Pompeii you eat bread. At Nuceria, you will drink! At Nuceria...",,Graffito/incised,Latin,8903,"AGP-EDR147519, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR147519&gt; [accessed: 27 Mar 2023]","III.5.4, Facade",,0,0,Unknown,,Pompeii,,,,Not found,,
Primus,"Textus et mensurae secundum (2). Contulerunt et, tectorio nunc abraso, non invenerunt Benefiel et Sypniewski (AGP) a. 2019.<br>Nomen PRIMUS in campo ad amphitheatrum in columna XXXV invenitur (EDR127809) <br>In eadem columna EDR127579 (stria 9-10), EDR127578 (stria 14)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXXIII, stria 8",Primus,Graffito naming Primus,Graffito/incised,Latin,8663,"AGP-EDR128056, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128056&gt; [accessed: 27 Mar 2023]","col. LXXIII, stria 8",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"ic (:hic) abitamus (:habitamus)
felices
nos
dii
faciant","Textus secundum (1), mensurae secundum (4). Contulerunt Benefiel et Sypniewski (AGP); vestigia in tectorio abraso adhuc extant a. 2019.<br>v. 1: IC pro HIC sine aspiratione in aliis titulis Pompeianis invenitur, e.g. EDR127399 (col. 70, etiam in Campo).<br>v. 1: ABITAMUS pro HABITAMUS sine aspiratione.<br>Vide etiam CIL 04, 01321 (P. Comicius Restitutus cum fratre / ic stetit), 00538 (abeat), 02013 (abeto).<br>Idem verbum sine aspiratione (IC pro HIC) etiam in titulis in marmore aut in lapide videntur, e.g.  EDR026268 (Rufus ic situs).<br>In eadem columna EDR127573 (stria 5), EDR127430 (stria 15)<br>","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXXV, stria 12","We live here. May the gods make us happy. (Or, May the gods grant that we live here happily.)",Prayer,Graffito/incised,Latin,8670,"AGP-EDR128050, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128050&gt; [accessed: 27 Mar 2023]","col. LXXV, stria 12",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
Iar,"Textus secundum (2), aliter (1); mensurae ex apographo apud (1).<br>v. 1: IA&#7788;R&#7788; (1); principium nominis IARINVS dubie (1), sine cunctatione (2), fortasse (3); littera A est sui generis.<br>Supra EDR146893","Pompei (Napoli), Regio VII.12.18-20, Lupanare, cella f",,,Graffito/incised,Latin,2205,"AGP-EDR147137, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR147137&gt; [accessed: 27 Mar 2023]",,Lupanare,137,18-20,VII.12,Insula VII.12,Pompeii,433032,,,Lupanare,,
COLA,"Textus secundum (3). Contulerunt Benefiel, Zimmermann Damer, et Sypniewski (AGP), et primae duae litterae extant a. 2019.<br>Locus inventionis secundum (3); aliter, in striis 14-15 (1)(2)<br>v. 1: COLLA(TIVS) (1). COLA apud apographum videtur, sed COLLA(TIVS) in nota datur (2)<br>In eadem columna EDR128046 (COLLATIVS)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXXVII, stria 14",(Beginning of a word),Graffito,Graffito/incised,Latin,8675a,"AGP-EDR128051, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128051&gt; [accessed: 27 Mar 2023]","col. LXXVII, stria 14",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
Postu&#803;(mi),"Textus et mensurae secundum (2). Contulerunt Benefiel et Sypniewski (AGP), tantum vestigia extant a. 2019.<br>v. 1: Postu(mi) vel Postu(mius)? (4)<br>Nomen POSTVMIVS quinquies in campo ad amphitheatrum invenitur ad EDR127298 (col. XXVII), EDR168020 (col. LXXXVIII), EDR167701 (col. XCIV), EDR167507 (col. CXVII) et hic.<br>In eadem columna EDR128049 (striae 4-5); EDR127574, EDR127575 (stria 6), EDR127576 (striae 7-8)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXXVI, stria 10","Oh, Postumius",Graffito naming Postumius,Graffito/incised,Latin,8674,"AGP-EDR127577, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127577&gt; [accessed: 27 Mar 2023]","col. LXXVI, stria 10",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
Lucilius,"Textus et mensurae secundum (2). Contulerunt et non invenerunt Benefiel, Zimmermann Damer, et Sypniewski (AGP) a. 2019.<br>Locus inventionis secundum (1); aliter, in striis 14-15 (2).<br><br>In campo ad amphitheatrum nomen Lucilius etiam ter invenitur: EDR128047, EDR128053, EDR168029<br>Salutatio a Lucilio Lucidae in EDR127242, EDR127155, EDR128048, et EDR168024 invenitur.<br>Prope EDR128048 (stria 15), EDR167649 (stria 16)<br>","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXXVIII, stria 14",Lucilius,Graffito naming Lucilius,Graffito/incised,Latin,8676a,"AGP-EDR128047, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128047&gt; [accessed: 27 Mar 2023]","col. LXXVIII, stria 14",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"Successus textor amat coponiaes ancilla(m)
nomine Hiredem (:Iridem) quae quidem illum
non curat. &#12296;:vacat&#12297; sed ille rogat illa comiseretur (:commiseretur).
&#12296;:vacat&#12297; scribit rivalis. vale.
Invidiose, quia rumperes (:rumperis) sedare (:sectari?) noli formonsiorem 
et qui est homo pravessimus (:pravissimus) et bellus.","Textus secundum (2)<br>Litteris minutis et cursivis scriptum est.<br>v. 5: SEDARE clare scriptum, ubi insectari aut secare expectares (1), SEDARE pro SECTARE (4), SEDARE pro SECTARI (5) <br>v. 6: PRAVESSIMUS pro PROBISSIMUS (5)<br>vv. 5-6: manus est similis sed versus in voce alterius scriptoris scribi videntur.","Pompei (Napoli), Regio I.10.3, facade",,,Graffito/incised,Latin,8259,"AGP-EDR175589, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR175589&gt; [accessed: 27 Mar 2023]","I.10.3, facade",,0,0,Unknown,,Pompeii,,,,Not found,,
"Pri=
mus","Textus et mensurae secundum (2). Contulerunt Benefiel, Zimmermann Damer, et Sypniewski (AGP); pauca vestigia adhuc extant a. 2019.<br>In campo ad amphitheatrum nomen Primus ter invenitur: EDR127809 (col. XXXV),  EDR128056 (col. LXXIII), et EDR167650 (hic).","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXXIX, striae 13-14",Primus,Graffito naming Primus,Graffito/incised,Latin,8678,"AGP-EDR167650, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167650&gt; [accessed: 27 Mar 2023]","col. LXXIX, striae 13-14",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
XXXXXII,Textus secundum (1).,"Pompei (Napoli), Regio V.1.18, Casa degli Epigrammi Greci",,,Graffito/incised,Latin,4058,"AGP-EDR163897, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR163897&gt; [accessed: 27 Mar 2023]",,Casa degli Epigrammi,66,18,V.1,Insula V.1,Pompeii,433032,,"11,12",Casa degli Epigrammi,,
Rufus,Textus secundum (1).<br>Infra EDR163595.<br>Ad dextram EDR163598.,"Pompei (Napoli), Regio V.1.18-19, Façade",,,Graffito/incised,Latin,4064,"AGP-EDR163597, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR163597&gt; [accessed: 27 Mar 2023]","V.1.18-19, Façade",,0,0,Unknown,,Pompeii,,,,Not found,,
Ampliatus,"Textus secundum (1).<br>Ad sinistram EDR163597.<br>De Ampliato, cf EDR163602.","Pompei (Napoli), Regio V.1.18-19, Façade",,,Graffito/incised,Latin,4065,"AGP-EDR163598, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR163598&gt; [accessed: 27 Mar 2023]","V.1.18-19, Façade",,0,0,Unknown,,Pompeii,,,,Not found,,
"((:anser spectans ad sinistram))
Mulviu Mulvi",Textus secundum (3).<br>Mulvius pro milvus (1)(2).<br>MULVIUS = avis (MILVUS) aut nomen (MILVIUS)?,"Pompei (Napoli), Regio VIII.2.26, Casa del Cinghiale","Kite (type of bird), kite",Drawing of a bird with labels,Graffito/incised,Latin,4885,"AGP-EDR175600, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR175600&gt; [accessed: 27 Mar 2023]",,Casa del Cinghiale,2,26,VIII.2,Insula VIII.2,Pompeii,433032,,27,Casa del Cinghiale,,((:anser spectans ad sinistram))
"Africanus moritur
scribet (:scribit) puer Rusticus
condisces (:condiscens) cui dolet pro Africano","Textus et mensurae secundum (1)<br>v. 1: SCRIBET pro SCRIBIT (4); CONDISCES pro CONDISCENS = condiscipulus (4)<br>Infra EDR150376, fortasse eadem manu","Pompei (Napoli), Regio VII.12.18-20, Lupanare, cella d",,,Graffito/incised,Latin,2258a,"AGP-EDR152017, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR152017&gt; [accessed: 27 Mar 2023]",,Lupanare,137,18-20,VII.12,Insula VII.12,Pompeii,433032,,,Lupanare,,
ABCD,"Textus et mensurae secundum (2).  Maxima ex parte perierunt (3), periit (4). Contulerunt et non invenerunt tectorii lapsu Benefiel et Sypniewski (AGP) a. 2019.<br>In eadem stria EDR167405<br>In eadem columna EDR167404 (stria 1); EDR167407 (striae 7-11); EDR167406 (stria 11); EDR167408 (stria 18)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXXXIII, stria 4",,Alphabet,Graffito/incised,Latin,9291,"AGP-EDR167409, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167409&gt; [accessed: 27 Mar 2023]","col. LXXXIII, stria 4",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
XXXII,Textus et mensurae secundum (1),"Pompei (Napoli), Regio II.4.1",,,charcoal,Latin,10114a,"AGP-EDR180462, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR180462&gt; [accessed: 27 Mar 2023]",,,2,1,II.4,Insula II.4,Pompeii,433032,,,,,
{Ac}Accia,"Textus secundum (2), locus inventionis secundum (4), aliter (1)(5)<br>Sub EDR151710 (1)<br>Locus inventionis incertus est: VI.9 vel VI.10 (1); VI.7 vel VI.8 (3)<br>Primae AC ad titulum non pertinent (3)","Pompei (Napoli), Regio VI.9.1-2, Via di Mercurio, Facade",,,Graffito/incised,Latin,1339a,"AGP-EDR151713, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR151713&gt; [accessed: 27 Mar 2023]","VI.9.1-2, Via di Mercurio, Facade",,0,0,Unknown,,Pompeii,,,,Not found,,
Decus,Textus secundum (1) <br>v. 1: littera S cursiva est (1),"Pompei (Napoli), Regio VIII.7.16, Quadriporticus del Teatro",,,Graffito/incised,Latin,2469a,"AGP-EDR151814, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR151814&gt; [accessed: 27 Mar 2023]",,,29,16,VIII.7,Insula VIII.7,Pompeii,433032,,17,Quadriportico del Teatro,,
"XIIII III
XX &#12296;:vacat&#12297; XXV &#12296;:vacat&#12297; XXVIII",Textus secundum (1).,"Pompei (Napoli), Regio V.1.18, Casa degli Epigrammi Greci","14, 3, 20, 25, 28",Roman numeral,Graffito/incised,Latin,4038,"AGP-EDR163886, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR163886&gt; [accessed: 27 Mar 2023]",,Casa degli Epigrammi,66,18,V.1,Insula V.1,Pompeii,433032,,"11,12",Casa degli Epigrammi,,
"Pelias
Alcestis","Textus secundum (1).<br>V. 1. litt. alt. 1,8 cm.","Pompei (Napoli), Regio V.1.18, Casa degli Epigrammi Greci",Pelias Alcestis,Names,Graffito/incised,Latin,4042,"AGP-EDR163891, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR163891&gt; [accessed: 27 Mar 2023]",,Casa degli Epigrammi,66,18,V.1,Insula V.1,Pompeii,433032,,"11,12",Casa degli Epigrammi,,
XX Heraclae,Textus et mensura secundum (3).<br>v.1: VA(le) pro XX (1) (2).<br>v.1: HERACLA (1) aut HERACLE (2).<br>Hoc nomen Pompeiis alibi est inventum.,"Pompei (Napoli), Regio VIII.2.36, Casa di Caecilius Phoebus",20 for Heracla,Graffito with name and number,Graffito/incised,Latin,4914,"AGP-EDR175776, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR175776&gt; [accessed: 27 Mar 2023]",,(Unnamed),25,36,VIII.2,Insula VIII.2,Pompeii,433032,,37,Casa di Caecilius Phoebus,,
MV,"Textus secundum (2); mensurae secundum (4). Periit (3). Contulerunt Sypniewski et Benefiel (AGP); vestigia in tectorio corroso adhuc a. 2019 extant. <br>v. 1: MV(RMILLO?) (2)<br>Supra EDR167664	 (duo capita gladiatoria galeata)<br>Prope EDR167654 et EDR168169 (stria 6)<br>In eadem columna EDR167676 (stria 11), EDR167678 (stria 12), EDR167684 (striae 8, 9, 13, 15-16, 16-17).","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXXXIV, stria 5",MV,Initials?,Graffito/incised,Latin,8693,"AGP-EDR167651, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167651&gt; [accessed: 27 Mar 2023]","col. LXXXIV, stria 5",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
A(ulus) Rufus (?),"Textus et mensurae secundum (1)<br>Non expedivi (1), Lectionem A. RUFUS incertam esse patet (2)","Pompei (Napoli), Regio V.3.9-10, Facade",,,Graffito/incised,Latin,6708,"AGP-EDR180551, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR180551&gt; [accessed: 27 Mar 2023]","V.3.9-10, Facade",,0,0,Unknown,,Pompeii,,,,Not found,,
"&#949;&#955;&#945;&#946; (:&#7956;&#955;&#945;&#946;&#949;&#962;)
&#960;&#945;&#961;&#949;&#967;&#961;&#951;&#1010;&#959;&#1010; (:&#960;&#945;&#961;&#941;&#967;&#961;&#951;&#963;&#945;&#962;)
&#945;&#960;&#951;&#957;&#959;&#957;&#954;&#949;&#1010; (:&#7936;&#960;&#942;&#957;&#949;&#947;&#954;&#949;&#962;)
&#917;&#916;&#929;&#917;&#1017;","Textus et mensura secundum (3).<br>v.1: &#949;&#955;&#945;&#946;[---] (2)<br>v.2: litt. alt. 3,0 (3)","Pompei (Napoli), Regio VIII.2.36, Casa di Caecilius Phoebus","You took
you misused (?)
you brought back
EDRES",Greek graffito,Graffito/incised,Greek,4919,"AGP-EDR175793, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR175793&gt; [accessed: 27 Mar 2023]",,(Unnamed),25,36,VIII.2,Insula VIII.2,Pompeii,433032,,37,Casa di Caecilius Phoebus,,
((:animal ad sin.)),"Textus et mensurae secundum (5). Contulerunt Sypniewski et Benefiel (AGP) a. 2019.<br>Titulus descriptus sic: canis? ad sin. incendens (2), cavalluccio (3), Tier (4)<br>Infra EDR128748<br>In eadem columna EDR128747 (stria 8), EDR128750 (striae 5, 8, 12, 13, 16, 17)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. III, stria 16",,Drawing of an animal,Graffito/incised,,8524,"AGP-EDR167311, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167311&gt; [accessed: 27 Mar 2023]","col. III, stria 16",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,Animal facing left,((:animal ad sin.))
((:caput hominis ad sin. conversum)),"Textus secundum (1), periit (2)","Pompei (Napoli), Casa della Statuetta Indiana (I.8.5)",,Drawing of a head,Graffito/incised,,8191,"AGP-EDR128673, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128673&gt; [accessed: 27 Mar 2023]",,Casa della statuetta indiana,6,5,I.8,Insula I.8,Pompeii,433032,,"4,6",Casa della statuetta indiana,Head of a man facing the left,caput viri ad sin. conversus
((:herma viri ad sin. conversus)),"Textus secundum (1), periit (2)","Pompei (Napoli), Regio I.8.5, Casa della Statuetta Indiana",,,Graffito/incised,,8191,"AGP-EDR128899, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128899&gt; [accessed: 27 Mar 2023]",,Casa della statuetta indiana,6,5,I.8,Insula I.8,Pompeii,433032,,"4,6",Casa della statuetta indiana,,((:herma viri ad sin. conversus))
Adauctus,"Textus secundum (2), periit (2)","Pompei (Napoli), Regio I.6.1 (left of), facade",,,Graffito/incised,Latin,7998,"AGP-EDR136429, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR136429&gt; [accessed: 27 Mar 2023]","I.6.1 (left of), facade",,0,0,Unknown,,Pompeii,,,,Not found,,
"IIX Idus Ianuar(ias)
sacculum",Textus secundum (1),"Pompei (Napoli), Regio VIII.3.8",,,Graffito/incised,Latin,2040,"AGP-EDR148684, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR148684&gt; [accessed: 27 Mar 2023]",,Casa del Cinghialel I,15,8,VIII.3,Insula VIII.3,Pompeii,433032,,,Casa del Cinghiale I,,
[H]irriu(s),Textus et mensurae secundum (1).,"Pompei (Napoli), Regio VIII.5.19, facade",,,Graffito/incised,Latin,10212a,"AGP-EDR149197, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR149197&gt; [accessed: 27 Mar 2023]","VIII.5.19, facade",,0,0,Unknown,,Pompeii,,,,Not found,,
quati,Textus secundum (1),"Pompei (Napoli), Regio V.1.18, Casa degli Epigrammi",,,Graffito/incised,Latin,4035,"AGP-EDR135591, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR135591&gt; [accessed: 27 Mar 2023]",,Casa degli Epigrammi,66,18,V.1,Insula V.1,Pompeii,433032,,"11,12",Casa degli Epigrammi,,
incala&#7807;(it?),Textus et mensurae secundum (1); Infra EDR148673<br>v. 1: incalauit pro incaluit?,"Pompei (Napoli), Regio VIII.3.8, Casa del Cinghiale",,,Graffito/incised,Latin,2031,"AGP-EDR151159, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR151159&gt; [accessed: 27 Mar 2023]",,Casa del Cinghialel I,15,8,VIII.3,Insula VIII.3,Pompeii,433032,,,Casa del Cinghiale I,,
M(anius) Valer(ius),Textus secundum (1). <br>,"Pompei (Napoli), Regio VIII.5.7-8, facade",,,Graffito/incised,Latin,2043,"AGP-EDR150187, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR150187&gt; [accessed: 27 Mar 2023]","VIII.5.7-8, facade",,0,0,Unknown,,Pompeii,,,,Not found,,
&#928;IIII,Textus secundum (1),"Pompei (Napoli), Regio I.8.13, Casa di A. Grassus Romanus",?4,Tally marks,charcoal,Latin/Greek,8202d,"AGP-EDR128567, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128567&gt; [accessed: 27 Mar 2023]",,Officina di A. Granius Romanus,19,13,I.8,Insula I.8,Pompeii,433032,Workshop of A. Granius Romanus,,Officina di A. Granius Romanus,,
